pipeline_name,cv_f1_mean,cv_f1_std,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,classifier,vectorizer
MNB_BoW,0.9261587345446551,0.01450927812299153,0.9821039903264811,0.003537784483271512,0.9669082746319194,0.019652012423243975,0.8888644688644689,0.01453589517900036,MNB,BoW
LR_BoW,0.9111218088783788,0.013410445457706466,0.9784764207980652,0.0032804498104596343,0.9525633481645477,0.02200307600680062,0.8735897435897435,0.018366648837814484,LR,BoW
LinearSVC_TF-IDF,0.9086831469749834,0.023443867576272547,0.9775090689238212,0.005854277357634905,0.9339846112723839,0.030095459166043368,0.8851465201465201,0.0252227394445505,LinearSVC,TF-IDF
LinearSVC_BoW,0.8972971697923683,0.02559326711389906,0.9755743651753326,0.005894102832867669,0.9549654397294975,0.022869029258306153,0.8468864468864469,0.035630078242215965,LinearSVC,BoW
LR_TF-IDF,0.8958136352624575,0.00928279358883479,0.973639661426844,0.0026929936458670056,0.8959100684808566,0.026445896103430115,0.8965567765567766,0.01525043966738131,LR,TF-IDF
MNB_TF-IDF,0.8410554369570763,0.028868728377111005,0.9654171704957678,0.005546478810727841,0.9971830985915492,0.005633802816901401,0.728021978021978,0.04045816149947717,MNB,TF-IDF
