pipeline_name,fold,f1,accuracy,precision,recall
LR_BoW,1,0.9035532994923858,0.9770253929866989,0.956989247311828,0.8557692307692307
LR_BoW,2,0.934010152284264,0.9842805320435308,0.989247311827957,0.8846153846153846
LR_BoW,3,0.9073170731707317,0.9770253929866989,0.9207920792079208,0.8942307692307693
LR_BoW,4,0.916256157635468,0.9794437726723095,0.9489795918367347,0.8857142857142857
LR_BoW,5,0.8944723618090452,0.9746070133010882,0.9468085106382979,0.8476190476190476
LR_TF-IDF,1,0.9108910891089109,0.9782345828295043,0.9387755102040817,0.8846153846153846
LR_TF-IDF,2,0.8857142857142857,0.9709794437726723,0.8773584905660378,0.8942307692307693
LR_TF-IDF,3,0.8878504672897196,0.9709794437726723,0.8636363636363636,0.9134615384615384
LR_TF-IDF,4,0.9014084507042254,0.9746070133010882,0.8888888888888888,0.9142857142857143
LR_TF-IDF,5,0.8932038834951457,0.973397823458283,0.9108910891089109,0.8761904761904762
LinearSVC_BoW,1,0.9183673469387755,0.9806529625151149,0.9782608695652174,0.8653846153846154
LinearSVC_BoW,2,0.9238578680203046,0.9818621523579202,0.978494623655914,0.875
LinearSVC_BoW,3,0.91,0.9782345828295043,0.9479166666666666,0.875
LinearSVC_BoW,4,0.8756218905472637,0.969770253929867,0.9166666666666666,0.8380952380952381
LinearSVC_BoW,5,0.8586387434554974,0.9673518742442564,0.9534883720930233,0.780952380952381
LinearSVC_TF-IDF,1,0.9253731343283582,0.9818621523579202,0.9587628865979382,0.8942307692307693
LinearSVC_TF-IDF,2,0.9346733668341709,0.9842805320435308,0.9789473684210527,0.8942307692307693
LinearSVC_TF-IDF,3,0.9134615384615384,0.9782345828295043,0.9134615384615384,0.9134615384615384
LinearSVC_TF-IDF,4,0.9029126213592233,0.9758162031438936,0.9207920792079208,0.8857142857142857
LinearSVC_TF-IDF,5,0.8669950738916257,0.9673518742442564,0.8979591836734694,0.8380952380952381
MNB_BoW,1,0.9137055837563451,0.9794437726723095,0.967741935483871,0.8653846153846154
MNB_BoW,2,0.92,0.9806529625151149,0.9583333333333334,0.8846153846153846
MNB_BoW,3,0.9353233830845771,0.9842805320435308,0.9690721649484536,0.9038461538461539
MNB_BoW,4,0.95,0.9879081015719468,1.0,0.9047619047619048
MNB_BoW,5,0.9117647058823529,0.9782345828295043,0.9393939393939394,0.8857142857142857
MNB_TF-IDF,1,0.8181818181818182,0.9613059250302297,1.0,0.6923076923076923
MNB_TF-IDF,2,0.8633879781420765,0.969770253929867,1.0,0.7596153846153846
MNB_TF-IDF,3,0.8633879781420765,0.969770253929867,1.0,0.7596153846153846
MNB_TF-IDF,4,0.8648648648648649,0.969770253929867,1.0,0.7619047619047619
MNB_TF-IDF,5,0.7954545454545454,0.9564691656590084,0.9859154929577465,0.6666666666666666
